,id,categories,city,name,postalcode,state
144,AVwdADhdIN2L1WUfrLn_,american fast food,Hesperia,Burger King,92344,California
145,AVwd2RyPIN2L1WUfzv01,american fast food,Hesperia,Burger King,92345,California
146,AVwcpqJ9kufWRAb5xiW3,american fast food,Hawthorne,Del Taco,90250,California
147,AVwc0G8LIN2L1WUfpLyR,american fast food,Granada Hills,Del Taco,91344,California
148,AVwedaGE_7pvs4fzDLLi,american fast food,Dover,Arby's,19904,Delaware
150,AV_dgLxlRxPSIh2Rnl7J,american fast food,Fountain Inn,McDonald's,29644,South Carolina
151,AVzoHSXyFcQ3k02bC0E9,american fast food,Lebanon,Burger King,17042,Pennsylvania
152,AV9cmvR53-Khe5l_YlWS,american fast food,Lebanon,Chipotle Mexican Grill,17042,Pennsylvania
153,AVwcloWK_7pvs4fzww83,american fast food,Claymont,Taco Bell,19703,Delaware
154,AV1TsmcxLD2H7whiaOwi,american fast food,Chandler,Pizza Hut,85226,Arizona
155,AV1fOWb73-Khe5l_NPEQ,american fast food,Plover,McDonald's,54467,Wisconsin
156,AVwcu6kcIN2L1WUfoSKJ,sandwich,Aurora,Arby's,80012,Colorado
157,AVwddFsyByjofQCxpSx6,american fast food,Energy,Primo's Pizza,62933,Illinois
158,AVwct9e1IN2L1WUfoHwp,american fast food,Pea Ridge,Simple Simon's Pizza,72751,Arkansas
159,AVweRs_CByjofQCxwzW1,american fast food,Clarksville,Arby's,37040,Tennessee
160,AVwdYSPGkufWRAb55ScB,american fast food,Alliance,Dairy Queen,44601,Ohio
161,AV4zAyyNa4HuVbed_wdH,american fast food,Bryant,CASA Mexicana,72022,Arkansas
162,AVz3ZAzzFcQ3k02bDZr2,american fast food,Bryant,Burger King,72022,Arkansas
163,AVweINXL_7pvs4fzASP4,american fast food,Flagstaff,Burger King,86004,Arizona
164,AVwdwY_CIN2L1WUfy63f,american fast food,Brookings,Arby's,57006,South Dakota
166,AVwekcyLIN2L1WUf6LXx,american fast food,Apache Junction,KFC,85120,Arizona
167,AV5UU-Y63-Khe5l_U3X5,american fast food,Bluefield,Burger King,24701,West Virginia
168,AVwdvJqs_7pvs4fz8zIQ,american fast food,Beckley,Bob Evans,25801,West Virginia
169,AVwclGaQByjofQCxf2s_,american fast food,Beckley,Pizza Hut,25801,West Virginia
170,AVwdbWkJByjofQCxpAZ_,american fast food,Highland Park,Players Grill,60035,Illinois
171,AV12hrRIa4HuVbed9KOO,american fast food,Buckhannon,Burger King,26201,West Virginia
172,AVwedfvcIN2L1WUf5IYw,american fast food,Cody,Arby's,82414,Wyoming
173,AVwc-zXUkufWRAb51Dg7,american fast food,Cody,Burger King,82414,Wyoming
174,AVwcz1oTIN2L1WUfpIwj,american fast food,Cheyenne,Pizza Hut,82009,Wyoming
175,AVwdZqQTkufWRAb55g95,american fast food,Collierville,Back Yard Burgers,38017,Tennessee
176,AV_HmU5fRxPSIh2RnCtk,american fast food,Collierville,Arby's,38017,Tennessee
177,AVwdGMYhByjofQCxld-I,american fast food,Casper,Arby's,82604,Wyoming
178,AVwdBKVKIN2L1WUfrWon,american fast food,Cordova,Arby's,38016,Tennessee
179,AV1b8H9W-gnIPe8DXCv4,american fast food,Mobridge,SUBWAY,57601,South Dakota
180,AVwdxtT_kufWRAb59J7P,american fast food,Defiance,Arby's,43512,Ohio
181,AVwdIIcOIN2L1WUfsewq,american fast food,Defiance,Pizza Hut,43512,Ohio
182,AV1gp29ERxPSIh2RaTqR,american fast food,Fairborn,Pizza Hut,45324,Ohio
183,AV1gk9zvIxWefVJwfwXm,american fast food,Aberdeen,Arby's,57401,South Dakota
184,AVwdNRBGIN2L1WUftWBA,american fast food,Blountville,McDonald's,37617,Tennessee
185,AVweMyUlkufWRAb5A3cM,american fast food,Blountville,McDonald's,37617,Tennessee
186,AVwdF9b0kufWRAb52Ohc,american fast food,Blountville,Arby's,37617,Tennessee
188,AVwd9Z7s_7pvs4fz-x3z,american fast food,Berea,Burger King,40403,Kentucky
189,AVwdXnTzIN2L1WUfvGEZ,american fast food,East Liverpool,Italo's Pizza,43920,Ohio
190,AVwd4jKR_7pvs4fz-HDI,ice cream,East Liverpool,Dairy Queen,43920,Ohio
191,AV3iUDUCIxWefVJwj4qe,american fast food,Lima,Hunan Gardens,45804,Ohio
192,AVwcxVGFIN2L1WUfotkc,american fast food,Circleville,Burger King,43113,Ohio
193,AV1c1MiiIxWefVJweCIW,american fast food,Chardon,Burger King,44024,Ohio
194,AV1tfsdIIxWefVJwg3_A,american fast food,Bellefontaine,Burger King,43311,Ohio
195,AV1c4_rB3-Khe5l_MDnb,american fast food,Broadview Heights,Burger King,44147,Ohio
196,AVwePq9SByjofQCxwh1c,american fast food,Broadview Heights,Burger King,44147,Ohio
197,AV-FbUAC3-Khe5l_YrC9,american fast food,Chippewa Falls,Toppers Pizza,54729,Wisconsin
198,AV0Xtb18-gnIPe8DVNq5,american fast food,Delavan,Hernandez Mexican Restaurant,53115,Wisconsin
199,AVwdUa0bByjofQCxn2je,american fast food,Delavan,Culver's,53115,Wisconsin
200,AV0JUoK7-gnIPe8DU0Ns,american fast food,Christiansburg,Burger King,24073,Virginia
201,AV1gpJW-3-Khe5l_NiYc,american fast food,Christiansburg,Arby's,24073,Virginia
203,AVwd3mfPIN2L1WUfz6-N,american fast food,Farmville,Burger King,23901,Virginia
204,AVwdPDZD_7pvs4fz3tAn,american fast food,Charlottesville,Glorious Foods Gourmet to go & Catering,22903,Virginia
205,AVwc-zHNIN2L1WUfq-Gr,american fast food,Gresham,Little Caesars Pizza,97030,Oregon
206,AVwdtB5B_7pvs4fz8fs2,american fast food,El Paso,Arby's,79924,Texas
207,AV0Z-6uGLD2H7whiZSdp,american fast food,Wharton,Pizza Hut,77488,Texas
208,AVwdjKDekufWRAb56-9j,american fast food,Denison,Burger King,75020,Texas
209,AVwdNGjfkufWRAb53aOE,american fast food,Penitas,McDonald's,78576,Texas
210,AVweOyq2_7pvs4fzBL9r,american fast food,Eagle Pass,Burger King,78852,Texas
211,AVweNjQqkufWRAb5A-DY,american fast food,Del Rio,Chick-Fil-A,78840,Texas
212,AVwc7EDPkufWRAb50dfh,american fast food,Bryan,Burger King,77803,Texas
213,AVwdRrGIkufWRAb54Mhp,american fast food,Cleburne,Schlotzsky's,76033,Texas
214,AVwdjmRT_7pvs4fz7DIl,sandwich,Burleson,Arby's,76028,Texas
215,AVwdhNy-IN2L1WUfwnM-,american fast food,Burleson,Chick-Fil-A,76028,Texas
216,AVwc7Eb2ByjofQCxjqhl,burger,Bellaire,Burger King,77401,Texas
217,AVwecJov_7pvs4fzC_oB,american fast food,Abilene,Arby's,79606,Texas
218,AVwd51-akufWRAb5-Q4x,american fast food,Beeville,Golden Chick,78102,Texas
219,AVwdw00N_7pvs4fz9C1Q,american fast food,Pettus,Dairy Queen,78146,Texas
220,AV1c6_eS3-Khe5l_MMTW,american fast food,Sinton,Pizza Hut,78387,Texas
221,AV5UUkfva4HuVbedCfiY,american fast food,Angleton,Chicken Express,77515,Texas
222,AVwdwBfFkufWRAb586fj,american fast food,Flourtown,McDonald's,19031,Pennsylvania
223,AVwckd4O_7pvs4fzwj4F,american fast food,Chestertown,Arby's,21620,Maryland
225,AV1ZOfgv-gnIPe8DWzZ0,american fast food,Alice,Big House Burgers,78332,Texas
226,AV1TspCc3D1zeR_xFHNs,american fast food,Orlando,Arby's,32809,Florida
227,AVweUp7uByjofQCxxM0F,american fast food,Columbia,McDonald's,21045,Maryland
228,AVwdidaG_7pvs4fz64GI,american fast food,Elkridge,Burger King,21075,Maryland
229,AVwdtn0wIN2L1WUfyhLa,american fast food,Fairless Hills,Arby's,19030,Pennsylvania
231,AVzA-o6V-gnIPe8DSf4e,american fast food,Ephrata,Arby's,17522,Pennsylvania
232,AV0aPBEA3D1zeR_xESh0,american fast food,Ottumwa,Pizza Hut,52501,Iowa
233,AVwcf1eDByjofQCxe4_S,american fast food,Abingdon,Arby's,24210,Virginia
235,AVwdO1e__7pvs4fz3qze,sandwich,Alexandria,Jerry's Subs & Pizza,22306,Virginia
237,AVweJiniByjofQCxvs4d,american fast food,Ebensburg,Fox's Pizza Den,15931,Pennsylvania
238,AVwci_i3kufWRAb5wXqN,american fast food,Ebensburg,Burger King,15931,Pennsylvania
239,AVwcxxCUIN2L1WUfoyco,american fast food,Erie,Arby's,16509,Pennsylvania
240,AVwcp1psIN2L1WUfnZ3Z,sandwich,Erie,Arby's,16504,Pennsylvania
241,AV1c6a363-Khe5l_MJkC,american fast food,Florence,Burger King,41042,Kentucky
242,AVwc2yJTByjofQCxi7yi,burger,Coopersburg,Burger King,18036,Pennsylvania
243,AVwch5Q-kufWRAb5wLFR,american fast food,Clarion,Pizza Pub,16214,Pennsylvania
244,AVwcv5-qIN2L1WUfodGm,american fast food,Canonsburg,Grande Italian Restaurant,15317,Pennsylvania
